RegionID,RegionName,lat,lon
102001,United States,39.7837304,-100.445882
394913,"New York, NY",40.7127281,-74.0060152
753899,"Los Angeles, CA",34.0536909,-118.242766
394463,"Chicago, IL",41.8755616,-87.6244212
394514,"Dallas, TX",32.7762719,-96.7968559
394692,"Houston, TX",29.7589382,-95.3676974
395209,"Washington, DC",38.8950368,-77.0365427
394974,"Philadelphia, PA",39.9527237,-75.1635262
394856,"Miami, FL",25.7741566,-80.1935973
394347,"Atlanta, GA",33.7544657,-84.3898151
394404,"Boston, MA",42.3588336,-71.0578303
394976,"Phoenix, AZ",33.4484367,-112.074141
395057,"San Francisco, CA",37.7879363,-122.4075201
395025,"Riverside, CA",33.9824949,-117.374238
394532,"Detroit, MI",42.3315509,-83.046640300000007
395078,"Seattle, WA",47.6038321,-122.330062
394865,"Minneapolis, MN",44.9772995,-93.2654692
395056,"San Diego, CA",32.7174202,-117.162772
395148,"Tampa, FL",27.9449854,-82.4583107
394530,"Denver, CO",39.7392364,-104.984862
394358,"Baltimore, MD",39.2908816,-76.610759
395121,"St. Louis, MO",38.6254063,-90.190009
394943,"Orlando, FL",28.5421218,-81.379045
394458,"Charlotte, NC",35.2272086,-80.8430827
395055,"San Antonio, TX",29.4246002,-98.4951405
394998,"Portland, OR",45.5202471,-122.674194
395045,"Sacramento, CA",38.5810606,-121.493895
394982,"Pittsburgh, PA",40.4406968,-80.0025666
394466,"Cincinnati, OH",39.1014537,-84.5124602
394355,"Austin, TX",30.2711286,-97.7436995
394775,"Las Vegas, NV",36.1674263,-115.1484131
394735,"Kansas City, MO",39.100105,-94.5781416
394492,"Columbus, OH",39.9622601,-83.0007065
394705,"Indianapolis, IN",39.7683331,-86.1583502
394475,"Cleveland, OH",41.4996574,-81.6936772
395059,"San Jose, CA",37.3361663,-121.890591
394902,"Nashville, TN",36.1622767,-86.7742984
395194,"Virginia Beach, VA",36.8496579,-75.9760751
395005,"Providence, RI",41.8239891,-71.4128343
394714,"Jacksonville, FL",30.3262247,-81.6579179
394862,"Milwaukee, WI",43.0386475,-87.9090751
394935,"Oklahoma City, OK",35.4729886,-97.5170536
395012,"Raleigh, NC",35.7803977,-78.6390989
394849,"Memphis, TN",35.1460249,-90.0517638
395022,"Richmond, VA",37.5385087,-77.43428
394807,"Louisville, KY",38.2542376,-85.759407
394910,"New Orleans, LA",29.9561422,-90.0733934
395053,"Salt Lake City, UT",40.7596198,-111.886797
394669,"Hartford, CT",41.764582,-72.6908547
394425,"Buffalo, NY",42.8864163,-78.8781493
394388,"Birmingham, AL",33.5206824,-86.8024326
395031,"Rochester, NY",43.157285,-77.615214
394640,"Grand Rapids, MI",42.9632425,-85.6678639
395167,"Tucson, AZ",32.2228765,-110.974847
753924,"Urban Honolulu, HI",21.3936552,-157.975819
395169,"Tulsa, OK",36.1563122,-95.9927516
394619,"Fresno, CA",36.7394421,-119.78483
395238,"Worcester, MA",42.2625621,-71.8018877
394938,"Omaha, NE",41.2587459,-95.9383758
394415,"Bridgeport, CT",41.1792695,-73.1887863
394653,"Greenville, SC",34.851354,-82.3984882
394312,"Albuquerque, NM",35.0841034,-106.650985
394357,"Bakersfield, CA",35.3738712,-119.019463
394308,"Albany, NY",42.6511674,-73.754968
394753,"Knoxville, TN",35.9603948,-83.9210261
394367,"Baton Rouge, LA",30.4494155,-91.1869659
394843,"McAllen, TX",26.204114,-98.2300605
394908,"New Haven, CT",41.3082138,-72.9250518
394561,"El Paso, TX",31.7601001,-106.4870476
394318,"Allentown, PA",40.6022552,-75.4716115
394952,"Oxnard, CA",34.1976308,-119.180381
394486,"Columbia, SC",34.000754,-81.0352313
753906,"North Port, FL",27.044224,-82.2359254
394457,"Charleston, SC",32.7884363,-79.9399309
394648,"Greensboro, NC",36.0726355,-79.7919754
395134,"Stockton, CA",37.9577016,-121.290779
394440,"Cape Coral, FL",26.5625742,-81.9438802
394399,"Boise City, ID",43.6166163,-116.200886
394484,"Colorado Springs, CO",38.8339578,-104.825348
394798,"Little Rock, AR",34.7465071,-92.2896267
394766,"Lakeland, FL",28.0394654,-81.9498042
394304,"Akron, OH",41.083064,-81.518485
394531,"Des Moines, IA",41.5868654,-93.6249494
395115,"Springfield, MA",42.1018764,-72.5886727
394931,"Ogden, UT",41.2230048,-111.9738429
394816,"Madison, WI",43.07469,-89.3841663
395235,"Winston, NC",36.0998131,-80.2440518
394528,"Deltona, FL",28.904843,-81.2273119
395143,"Syracuse, NY",43.0481221,-76.1474244
395006,"Provo, UT",40.2337289,-111.6587085
395160,"Toledo, OH",41.6529143,-83.5378173
395224,"Wichita, KS",37.6922361,-97.3375448
394549,"Durham, NC",35.996653,-78.9018053
394352,"Augusta, GA",33.4709714,-81.9748429
394957,"Palm Bay, FL",27.9946969,-80.6366144
394711,"Jackson, MS",32.2998686,-90.1830408
394666,"Harrisburg, PA",40.2663107,-76.8861122
395113,"Spokane, WA",47.6571934,-117.42351
395075,"Scranton, PA",41.4086874,-75.6621294
394460,"Chattanooga, TN",35.0457219,-85.3094883
394871,"Modesto, CA",37.6393419,-120.9968892
394768,"Lancaster, PA",40.0379958,-76.3056707
394997,"Portland, ME",43.6573605,-70.2586618
395245,"Youngstown, OH",41.1035786,-80.6520161
394770,"Lansing, MI",42.7338254,-84.5546295
394590,"Fayetteville, AR",36.0625843,-94.1574328
394589,"Fayetteville, NC",35.0525759,-78.878292
394792,"Lexington, KY",38.0464066,-84.4970393
394971,"Pensacola, FL",30.421309,-87.2169149
395068,"Santa Rosa, CA",38.4404925,-122.7141049
395019,"Reno, NV",39.5261788,-119.812658
394698,"Huntsville, AL",34.729847,-86.5859011
394995,"Port St. Lucie, FL",27.2939333,-80.3503283
394761,"Lafayette, LA",30.2262187,-92.0178202
394898,"Myrtle Beach, SC",33.6956461,-78.8900409
395116,"Springfield, MO",37.2081729,-93.2922715
395195,"Visalia, CA",36.3302284,-119.292058
394746,"Killeen, TX",31.1171441,-97.727796
394338,"Asheville, NC",35.595363,-82.5508407
395244,"York, PA",39.962493,-76.7276989
395183,"Vallejo, CA",38.1040864,-122.2566367
753917,"Santa Maria, CA",34.9531295,-120.435857
395050,"Salinas, CA",36.6744117,-121.655037
395048,"Salem, OR",44.9391565,-123.033121
394870,"Mobile, AL",30.6913462,-88.0437509
395015,"Reading, PA",40.335345,-75.9279495
394502,"Corpus Christi, TX",27.7635302,-97.4033191
394421,"Brownsville, TX",25.9024289,-97.4981698
394820,"Manchester, NH",42.9956397,-71.4547891
394612,"Fort Wayne, IN",41.0799898,-85.1386015
394658,"Gulfport, MS",30.3674198,-89.0928155
395051,"Salisbury, MD",38.366027,-75.6009964
394596,"Flint, MI",43.0161693,-83.6900211
394972,"Peoria, IL",40.6938609,-89.5891008
394439,"Canton, OH",40.7985464,-81.3749508
395070,"Savannah, GA",32.0790074,-81.0921335
394327,"Anchorage, AK",61.2163129,-149.894852
394372,"Beaumont, TX",30.0829344,-94.0984277
395096,"Shreveport, LA",32.5135356,-93.7477839
395164,"Trenton, NJ",40.2203074,-74.7659
394875,"Montgomery, AL",32.3777111,-86.3090775
394520,"Davenport, IA",41.5235808,-90.5770967
395146,"Tallahassee, FL",30.4380832,-84.2809332
394576,"Eugene, OR",44.0505054,-123.0950506
394901,"Naples, FL",26.1421976,-81.7942944
394332,"Ann Arbor, MI",42.2813722,-83.7484616
394927,"Ocala, FL",29.1871986,-82.1400923
394679,"Hickory, NC",35.7333312,-81.3442915
394697,"Huntington, WV",38.4192496,-82.445154
394602,"Fort Collins, CO",40.5871782,-105.0770113
395033,"Rockford, IL",42.2713945,-89.093966
394796,"Lincoln, NE",40.8088861,-96.7077751
394622,"Gainesville, FL",29.6519684,-82.3249846
394405,"Boulder, CO",40.0149856,-105.270545
394646,"Green Bay, WI",44.5126379,-88.0125794
394488,"Columbus, GA",32.4610708,-84.9880449
395107,"South Bend, IN",41.6833813,-86.2500066
395109,"Spartanburg, SC",34.9498007,-81.9320157
394645,"Greeley, CO",40.4233142,-104.7091322
394808,"Lubbock, TX",33.5855677,-101.8470215
394471,"Clarksville, TN",36.5277607,-87.3588703
395028,"Roanoke, VA",37.270973,-79.9414313
394579,"Evansville, IN",37.970495,-87.5715641
394747,"Kingsport, TN",36.550238,-82.5594293
394741,"Kennewick, WA",46.2087066,-119.119919
395179,"Utica, NY",43.1009031,-75.2326641
394660,"Hagerstown, MD",39.6430455,-77.7191081
394543,"Duluth, MN",46.7838287,-92.1052679
394937,"Olympia, WA",47.0451022,-122.8950075
394803,"Longview, TX",32.5007031,-94.74049
395229,"Wilmington, NC",34.2352853,-77.9487284
395061,"San Luis Obispo, CA",35.3540209,-120.375716
753875,"Crestview, FL",30.7621326,-86.5705084
394851,"Merced, CA",37.1641544,-120.7678602
395197,"Waco, TX",31.5491899,-97.1474628
394447,"Cedar Rapids, IA",41.9758872,-91.6704053
394348,"Atlantic City, NJ",39.3642852,-74.4229351
394412,"Bremerton, WA",47.5653663,-122.6246836
395103,"Sioux Falls, SD",43.5476008,-96.7293629
395065,"Santa Cruz, CA",36.9743626,-122.0294673
394572,"Erie, PA",42.1294712,-80.0852695
394924,"Norwich, CT",41.5243631,-72.0759134
394323,"Amarillo, TX",35.20729,-101.8371192
394772,"Laredo, TX",27.5079211,-99.5069834
395171,"Tuscaloosa, AL",33.2095614,-87.5675258
394483,"College Station, TX",30.6183939,-96.3455991
394732,"Kalamazoo, MI",42.291707,-85.5872286
394811,"Lynchburg, VA",37.4137536,-79.1422464
394455,"Charleston, WV",38.3505995,-81.6332812
395240,"Yakima, WA",46.601557,-120.510842
394585,"Fargo, ND",46.877229,-96.789821
394387,"Binghamton, NY",42.098698,-75.9125187
394609,"Fort Smith, AR",35.3880338,-94.4265011
394334,"Appleton, WI",44.2613967,-88.4069744
395161,"Topeka, KS",39.049011,-95.677556
394813,"Macon, GA",32.8406946,-83.6324022
395174,"Tyler, TX",32.3512601,-95.3010624
394361,"Barnstable Town, MA",41.6637897,-70.3030155
394519,"Daphne, AL",30.6035255,-87.9036047
394378,"Bellingham, WA",48.7544012,-122.478836
394429,"Burlington, VT",44.4761601,-73.212906
395030,"Rochester, MN",44.0234387,-92.4630182
753895,"Lafayette, IN",40.4191229,-86.8919011
394454,"Champaign, IL",40.1164841,-88.2430932
394848,"Medford, OR",42.3264181,-122.8718605
394459,"Charlottesville, VA",38.029306,-78.4766781
394763,"Lake Charles, LA",30.2305095,-93.2169807
394773,"Las Cruces, NM",32.3140354,-106.779807
394464,"Chico, CA",39.7284945,-121.8374777
394681,"Hilton Head Island, SC",32.1618488,-80.7512616
394346,"Athens, GA",33.9597677,-83.376398
394765,"Lake Havasu City, AZ",34.4775296,-114.3379972
394485,"Columbia, MO",38.951883,-92.3337366
395114,"Springfield, IL",39.7990175,-89.6439575
394691,"Houma, LA",29.5957696,-90.7195348
394872,"Monroe, LA",32.5025471,-92.116219
394565,"Elkhart, IN",41.6012796,-85.8590603
394726,"Johnson City, TN",36.3167671,-82.352903
395247,"Yuma, AZ",32.7254216,-114.6198088
394623,"Gainesville, GA",34.2978794,-83.8240663
394716,"Jacksonville, NC",34.7509962,-77.4309829
394597,"Florence, SC",34.1984435,-79.7671658
394680,"Hilo, HI",19.7073734,-155.08158
395118,"St. Cloud, MN",45.574643,-94.1205808
395011,"Racine, WI",42.7313756,-87.7834769
394380,"Bend, OR",44.0581728,-121.3153096
395047,"Saginaw, MI",43.4200387,-83.9490365
395202,"Warner Robins, GA",32.6200973,-83.606568
395151,"Terre Haute, IN",39.4667025,-87.4139119
395162,"Torrington, CT",41.8006523,-73.1212214
395009,"Punta Gorda, FL",26.9351529,-82.0512058
394386,"Billings, MT",45.7874957,-108.49607
395018,"Redding, CA",40.5863563,-122.391675
394748,"Kingston, NY",41.9287812,-74.0023825
394960,"Panama City, FL",30.1586518,-85.6602936
394729,"Joplin, MO",37.0841838,-94.5133385
394539,"Dover, DE",39.158168,-75.5243682
394559,"El Centro, CA",32.792,-115.563051
394712,"Jackson, TN",35.6144446,-88.8177418
395246,"Yuba City, CA",39.1404477,-121.6169108
394406,"Bowling Green, KY",36.9929203,-86.4428677
395119,"St. George, UT",37.1098772,-113.5832063
394896,"Muskegon, MI",43.2341813,-86.2483921
394299,"Abilene, TX",32.44645,-99.7475905
394707,"Iowa City, IA",41.6612561,-91.5299106
394351,"Auburn, AL",32.6098566,-85.4807825
394860,"Midland, TX",31.83688,-102.0103767
753869,"Bloomington, IL",40.4797828,-88.9939147
394671,"Hattiesburg, MS",31.3271189,-89.2903392
394944,"Oshkosh, WI",44.0206919,-88.5408574
394555,"Eau Claire, WI",44.811349,-91.4984941
394651,"Greenville, NC",35.613224,-77.3724593
394428,"Burlington, NC",36.0956918,-79.4377991
395210,"Waterloo, IA",42.498275,-92.3328743
394480,"Coeur d'Alene, ID",47.6742994,-116.7811531
394553,"East Stroudsburg, PA",40.9995386,-75.1812913
395007,"Pueblo, CO",38.263995,-104.6141867
394392,"Blacksburg, VA",37.2296566,-80.4136767
395215,"Wausau, WI",44.9597858,-89.6272791
394731,"Kahului, HI",20.8747708,-156.4529879
394720,"Janesville, WI",42.6829765,-89.0226793
395170,"Tupelo, MS",34.2576067,-88.7033859
394393,"Bloomington, IN",39.1670396,-86.5342881
394930,"Odessa, TX",31.8457149,-102.367687
394710,"Jackson, MI",42.2416466,-84.425589
395125,"State College, PA",40.7944504,-77.8616386
395079,"Sebastian, FL",27.817357,-80.4694039
394814,"Madera, CA",37.1716264,-119.7737991
394523,"Decatur, AL",34.6060203,-86.9838165
394453,"Chambersburg, PA",39.9375112,-77.6612586
395193,"Vineland, NJ",39.4862777,-75.0254256
394703,"Idaho Falls, ID",43.4887907,-112.03628
394639,"Grand Junction, CO",39.0672568,-108.56448
394563,"Elizabethtown, KY",37.693952,-85.8591285
394917,"Niles, MI",41.829769400000004,-86.2541768
394873,"Monroe, MI",41.9153358,-83.5135665
395066,"Santa Fe, NM",35.6876096,-105.938456
394493,"Concord, NH",43.207178,-71.537476
394314,"Alexandria, LA",31.3119463,-92.4453558
395163,"Traverse City, MI",44.7606481,-85.6165976
394359,"Bangor, ME",44.8016255,-68.7713289
394685,"Homosassa Springs, FL",28.8150599,-82.5550449
394662,"Hanford, CA",36.3277959,-119.6461565
394723,"Jefferson City, MO",38.577359,-92.1724265
394598,"Florence, AL",34.79981,-87.677251
394537,"Dothan, AL",31.2237285,-85.3934375
394802,"London, KY",37.1283343,-84.0835576
394306,"Albany, GA",31.5782062,-84.1556809
395102,"Sioux City, IA",42.4966815,-96.4058782
395223,"Wichita Falls, TX",33.9004572,-98.5020777
395152,"Texarkana, TX",33.4466745,-94.0771483
395182,"Valdosta, GA",30.8327022,-83.2784851
394800,"Logan, UT",41.7313063,-111.834914
394595,"Flagstaff, AZ",35.1987522,-111.651822
395036,"Rocky Mount, NC",35.9423833,-77.7956949
395000,"Pottsville, PA",40.6851324,-76.1953701
394515,"Dalton, GA",34.7691867,-84.9702475
394783,"Lebanon, PA",40.375713,-76.4626118
394880,"Morristown, TN",36.2139814,-83.2948923
395232,"Winchester, VA",39.1852184,-78.1652404
395221,"Wheeling, WV",40.0639616,-80.7209149
394879,"Morgantown, WV",39.6296809,-79.9559437
394756,"La Crosse, WI",43.8122836,-91.2514355
394900,"Napa, CA",38.4898675,-122.3218414
395013,"Rapid City, SD",44.0806041,-103.228023
395139,"Sumter, SC",33.9204354,-80.3414693
394577,"Eureka, CA",40.8018746,-124.1707558
395117,"Springfield, OH",39.9234046,-83.810138
394668,"Harrisonburg, VA",38.4493315,-78.8688833
394368,"Battle Creek, MI",42.3192548,-85.1824269
395094,"Sherman, TX",36.2452294,-101.8858689
394821,"Manhattan, KS",39.1836082,-96.5716694
394442,"Carbondale, IL",37.7274692,-89.216655
394727,"Johnstown, PA",40.3267407,-78.9219698
